,代號,殖利率
111,2537,0.125
112,2542,0.0942
113,2545,0.096999995
114,2548,0.08189999
115,2597,0.0766
116,2603,0.45450002
117,2606,0.060500003
118,2609,0.3241
119,2611,0.0733
120,2612,0.0645
121,2614,0.0541
122,2615,0.1707
123,2616,0.0766
124,2617,0.066199996
125,2636,0.0688
126,2637,0.128
127,2816,0.057600003
128,2820,0.0583
129,2851,0.083000004
130,2852,0.0756
131,2881,0.0548
132,2882,0.0773
133,2883,0.0769
134,2885,0.0594
135,2889,0.0507
136,2891,0.0507
137,2905,0.064899996
138,2908,0.0602
139,2915,0.0796
140,2945,0.0612
141,3005,0.053400002
142,3010,0.0694
143,3014,0.0506
144,3015,0.075
145,3019,0.056799997
146,3026,0.0857
147,3028,0.09810001
148,3029,0.058000002
149,3030,0.0701
150,3033,0.091000006
151,3034,0.11310001
152,3036,0.0743
153,3040,0.062800005
154,3042,0.075
155,3044,0.0556
156,3048,0.1201
157,3060,0.056799997
158,3090,0.0691
159,3130,0.062800005
160,3167,0.095699996
161,3209,0.056799997
162,3312,0.0871
163,3376,0.054899998
164,3413,0.0706
165,3447,0.0504
166,3481,0.1425
167,3528,0.0681
168,3557,0.1088
169,3588,0.061100002
170,3592,0.12109999
171,3596,0.0563
172,3605,0.05
173,3607,0.0641
174,3679,0.105299994
175,3702,0.0653
176,3703,0.0795
177,3708,0.0517
178,3711,0.0718
179,4137,0.0543
180,4306,0.0617
181,4440,0.0872
182,4536,0.0563
183,4583,0.0506
184,4722,0.0519
185,4766,0.056500003
186,4807,0.0845
187,4915,0.060100004
188,4927,0.0618
189,4930,0.0701
190,4935,0.0859
191,4938,0.0517
192,4942,0.0753
193,4952,0.0968
194,4958,0.0548
195,4960,0.1341
196,4961,0.052600004
197,4989,0.0556
198,4999,0.053200003
199,5007,0.0559
200,5215,0.1073
201,5225,0.0647
202,5234,0.051999997
203,5283,0.0734
204,5285,0.0541
205,5434,0.0533
206,5469,0.0509
207,5471,0.137
208,5515,0.069699995
209,5519,0.0808
210,5522,0.096599996
211,5533,0.0505
212,5534,0.0541
213,5538,0.050100002
214,5546,0.11359999
215,5608,0.084
216,6005,0.1104
217,6024,0.0659
218,6108,0.0598
219,6115,0.0602
220,6116,0.0743
221,6128,0.0623
222,6136,0.062800005
223,6141,0.0577
224,6168,0.0622
225,6176,0.0653
226,6177,0.0945
227,6184,0.0573
228,6189,0.0842
229,6192,0.0517
230,6201,0.0683
231,6202,0.1125
232,6206,0.055999998
233,6214,0.050300002
234,6215,0.056900002
235,6216,0.0602
236,6239,0.0677
237,6257,0.0743
238,6269,0.053000003
239,6277,0.1125
240,6278,0.060399998
241,6281,0.0586
242,6405,0.0868
243,6412,0.0686
244,6438,0.0513
245,6525,0.071
246,6552,0.0557
247,6581,0.0695
248,6591,0.0729
249,6606,0.0688
250,6641,0.08270001
251,6670,0.0556
252,6671,0.0698
253,6706,0.119899996
254,6754,0.064
255,6768,0.0701
256,6776,0.0563
257,6790,0.077
258,6792,0.064
259,6807,0.084300004
260,8016,0.1365
261,8021,0.074200004
262,8046,0.0638
263,8070,0.0689
264,8081,0.0798
265,8103,0.0533
266,8112,0.0889
267,8131,0.0571
268,8150,0.0563
269,8163,0.0642
270,8213,0.0588
271,8249,0.0618
272,8271,0.0544
273,8367,0.060300004
274,8467,0.19639999
275,8481,0.1094
276,8482,0.0763
277,8499,0.0796
278,9905,0.0587
279,9907,0.0505
280,9911,0.0554
281,9924,0.0647
282,9927,0.098500006
283,9943,0.0653
284,6206,0.055999998
