,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
370,4912,聯德控股-KY     ,"1,000","1,000",0,0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"1,000"
371,6117,迎廣            ,"2,000","1,000","1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000"
372,1731,美吾華          ,"105,000","105,000",0,0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"1,000"
373,00913,兆豐台灣晶圓製造,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,"101,000","100,000","1,000","1,000"
374,5871A,中租-KY甲特     ,813,0,813,0,0,0,0,0,0,0,0,0,0,0,0,0,813
375,2433,互盛電          ,"1,000",0,"1,000",0,0,0,0,0,0,-233,19,252,-233,0,0,0,767
376,2543,皇昌            ,"1,000","3,000","-2,000",0,0,0,0,0,0,"2,104","2,104",0,"2,104",0,0,0,104
377,2509,全坤建          ,"1,000","2,000","-1,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,0
378,2904,匯僑            ,"1,000","2,000","-1,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,0
379,2939,凱羿-KY         ,"1,000",0,"1,000",0,0,0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,0
380,1203,味王            ,"1,000",0,"1,000",0,0,0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,0
381,1256,鮮活果汁-KY     ,"1,000","1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,1617,榮星            ,"7,000","6,000","1,000",0,0,0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,0
383,4999,鑫禾            ,0,0,0,0,0,0,0,0,0,0,"3,000","3,000",0,0,0,0,0
384,4807,日成-KY         ,"1,000","1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,4571,鈞興-KY         ,"1,000","1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,6128,上福            ,"5,000","7,000","-2,000",0,0,0,0,0,0,"2,000","3,000","1,000","2,000",0,0,0,0
387,6136,富爾特          ,0,"3,000","-3,000",0,0,0,0,0,0,"3,000","3,000",0,"3,000",0,0,0,0
388,6464,台數科          ,0,"1,000","-1,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,0
389,0057,富邦摩台        ,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000","2,000",0,0
