,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
569,2032,新鋼            ,"27,000","11,000","16,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"16,000"
570,2038,海光            ,"44,000","29,000","15,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"16,000"
571,6128,上福            ,"33,000","4,000","29,000",0,0,0,0,0,0,"-13,000",0,"13,000","-13,000",0,0,0,"16,000"
572,1340,勝悅-KY         ,"56,000","41,000","15,000",0,0,0,0,0,0,528,"1,000",472,528,0,0,0,"15,528"
573,00762,元大全球AI      ,"20,000",0,"20,000",0,0,0,0,0,0,"-4,798",0,0,0,"74,202","79,000","-4,798","15,202"
574,1726,永記            ,"14,000",0,"14,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"15,000"
575,9927,泰銘            ,"41,204","16,000","25,204",0,0,0,0,0,0,"-10,749","1,251","12,000","-10,749",0,0,0,"14,455"
576,8103,瀚荃            ,"17,000","4,000","13,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"14,000"
577,1453,大將            ,"22,000","8,000","14,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"14,000"
578,8404,百和興業-KY     ,"37,000","24,000","13,000",0,0,0,0,0,0,901,"1,000",99,901,0,0,0,"13,901"
579,1225,福懋油          ,"25,000","1,000","24,000",0,0,0,0,0,0,"-10,110","1,000","11,110","-10,110",0,0,0,"13,890"
580,6277,宏正            ,"85,191","67,000","18,191",0,0,0,0,0,0,"-5,000",0,"5,000","-5,000",0,0,0,"13,191"
581,6573,虹揚-KY         ,"16,000","3,000","13,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"13,000"
582,020019,統一特選台灣5GN ,0,0,0,0,0,0,0,0,0,"13,000",0,0,0,"13,000",0,"13,000","13,000"
583,4912,聯德控股-KY     ,"16,000","3,000","13,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"13,000"
584,2305,全友            ,"29,000","17,000","12,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"13,000"
585,3164,景岳            ,"13,000",0,"13,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"13,000"
586,4722,國精化          ,"13,000","1,000","12,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"12,000"
587,2466,冠西電          ,"12,000",0,"12,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"12,000"
588,2114,鑫永銓          ,"15,000","2,000","13,000",0,0,0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,"12,000"
589,4935,茂林-KY         ,"28,000","16,000","12,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"12,000"
590,5244,弘凱            ,"13,000","1,000","12,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"12,000"
591,5484,慧友            ,"14,000","1,000","13,000",0,0,0,0,0,0,"-1,000","1,000","2,000","-1,000",0,0,0,"12,000"
592,9103,美德醫療-DR     ,"12,000",0,"12,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"12,000"
593,3437,榮創            ,"21,000","9,000","12,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"12,000"
594,3060,銘異            ,"23,000","12,000","11,000",0,0,0,0,0,0,269,"6,000","5,731",269,0,0,0,"11,269"
595,00911,兆豐洲際半導體  ,0,0,0,0,0,0,0,0,0,"11,000",0,0,0,"111,000","100,000","11,000","11,000"
596,9926,新海            ,"12,000","1,000","11,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"11,000"
597,9934,成霖            ,"68,000","58,000","10,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"11,000"
598,006203,元大MSCI台灣    ,"1,000",0,"1,000",0,0,0,0,0,0,"10,000",0,0,0,"10,000",0,"10,000","11,000"
599,4764,雙鍵            ,"11,000",0,"11,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"11,000"
600,1735,日勝化          ,"13,000","2,000","11,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"11,000"
601,2537,聯上發          ,"92,000","81,000","11,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"11,000"
602,2852,第一保          ,"28,000","17,000","11,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"11,000"
603,4133,亞諾法          ,"26,000","15,000","11,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"11,000"
604,1231,聯華食          ,"40,005","31,000","9,005",0,0,0,0,0,0,"1,766","7,000","5,234","1,766",0,0,0,"10,771"
605,2491,吉祥全          ,"9,000","2,000","7,000",0,0,0,0,0,0,"3,373","3,373",0,"3,373",0,0,0,"10,373"
606,3002,歐格            ,"77,000","67,000","10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"10,000"
607,1233,天仁            ,"13,000","3,000","10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"10,000"
608,1410,南染            ,"17,000","7,000","10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"10,000"
609,9912,偉聯            ,"10,000",0,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"10,000"
610,9937,全國            ,"19,000","1,000","18,000",0,0,0,0,0,0,"-8,000","1,000","8,000","-7,000","4,000","5,000","-1,000","10,000"
611,4934,太極            ,"85,000","76,000","9,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"10,000"
612,2316,楠梓電          ,"26,000","19,045","6,955",0,0,0,0,0,0,"2,452","2,452",0,"2,452",0,0,0,"9,407"
613,00736,國泰新興市場    ,"54,000",0,"54,000",0,0,0,0,0,0,"-45,000",0,0,0,"106,000","151,000","-45,000","9,000"
614,8442,威宏-KY         ,"19,000","10,000","9,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"9,000"
615,6552,易華電          ,"8,000","1,000","7,000",0,0,0,0,0,0,"2,000","2,000",0,"2,000",0,0,0,"9,000"
616,1441,大東            ,"9,000",0,"9,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"9,000"
617,2433,互盛電          ,"9,000",0,"9,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"9,000"
618,2816,旺旺保          ,"10,000","1,000","9,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"9,000"
619,4557,永新-KY         ,"13,000","4,000","9,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"9,000"
